setup,ROC_AUC,PR_AUC,Brier,Precision@0.40,Recall@0.40,F1@0.40
CTGAN (augmented),0.7555096418732782,0.7460987970361554,0.19035818181818184,0.5666666666666667,0.7727272727272727,0.6753315649867373
Baseline (real-only),0.7431129476584022,0.724076630869731,0.19160363636363642,0.6818181818181818,0.6818181818181818,0.7454545454545455
Oversample (ROS),0.7355371900826446,0.717192281181584,0.19522181818181822,0.6666666666666666,0.6363636363636364,0.7261367580701145
