pt,NB,model
0.51,0.0,Tratta nessuno
0.52,0.0,Tratta nessuno
0.53,0.0,Tratta nessuno
0.54,0.0,Tratta nessuno
0.55,0.0,Tratta nessuno
0.56,0.0,Tratta nessuno
0.5700000000000001,0.0,Tratta nessuno
0.58,0.0,Tratta nessuno
0.59,0.0,Tratta nessuno
0.6,0.0,Tratta nessuno
0.61,0.0,Tratta nessuno
0.62,0.0,Tratta nessuno
0.63,0.0,Tratta nessuno
0.64,0.0,Tratta nessuno
0.65,0.0,Tratta nessuno
0.66,0.0,Tratta nessuno
0.67,0.0,Tratta nessuno
0.6799999999999999,0.0,Tratta nessuno
0.69,0.0,Tratta nessuno
0.7,0.0,Tratta nessuno
0.71,0.0,Tratta nessuno
0.72,0.0,Tratta nessuno
0.73,0.0,Tratta nessuno
0.74,0.0,Tratta nessuno
0.75,0.0,Tratta nessuno
0.76,0.0,Tratta nessuno
0.77,0.0,Tratta nessuno
0.78,0.0,Tratta nessuno
0.79,0.0,Tratta nessuno
0.8,0.0,Tratta nessuno
0.8099999999999999,0.0,Tratta nessuno
0.82,0.0,Tratta nessuno
0.83,0.0,Tratta nessuno
0.84,0.0,Tratta nessuno
0.85,0.0,Tratta nessuno
0.86,0.0,Tratta nessuno
0.87,0.0,Tratta nessuno
0.88,0.0,Tratta nessuno
0.89,0.0,Tratta nessuno
0.9,0.0,Tratta nessuno
