Feature,n_used,p_target_bin,p_Age,p_Sex,p_BMI,p_HY,p_GaitSpeed,Effect_persists_after_adjust?
MSE_ML,251,1.189306286413553e-11,0.5550027201815012,0.005446479586889758,0.4187645243347341,0.22103965563242206,0.951751408567222,✅ Yes
iHR_V,253,3.358534656799422e-05,0.18886417740934788,0.014889298407822842,0.026911071403754767,0.0004963792049217631,2.9116103627561507e-08,✅ Yes
MSE_V,251,0.00021354338490295338,0.49936181601734175,0.09486079357930109,0.28917193576202566,0.5612425117557036,0.7441567514613274,✅ Yes
MSE_AP,251,0.0005541381624386932,0.5252788098983244,0.00018579521033778773,0.013161911390470456,0.09737526448366814,0.8047082284798663,✅ Yes
detML,255,0.0371725173795574,0.8430578233336282,0.07379316334391536,0.8095153103050258,0.011018979615800823,0.010783493955424323,✅ Yes
