Feature,n_used,beta_target,CI95_low,CI95_high,p_target
MSE_ML,251,0.2696303800365845,0.19507061192320774,0.3441901481499613,1.1893062864135393e-11
iHR_V,253,5.8064173614189745,3.10011330258487,8.51272142025308,3.358534656799449e-05
MSE_V,251,0.08831420398001665,0.04203891895067263,0.13458948900936066,0.00021354338490295487
MSE_AP,251,0.09809976235622367,0.042883499218434026,0.1533160254940133,0.0005541381624386897
detML,255,4.537670545898002,0.27196955568417724,8.803371536111825,0.03717251737955755
