Feature,n_used,Beta_adj,CI95%,p_adj,Cliff_delta,Cliff_strength,Cliff_direction,p_interaction_SexxTriade,p_adj_FDR,sig_adj_FDR,Sex×Triade (p<0.05)
MSE_ML,251,0.2696303800365845,"[0.195, 0.344]",1.1893062864135393e-11,0.41170044908362663,Medium,↑,0.045813095972038656,5.946531432067696e-11,True,True
iHR_V,253,5.8064173614189745,"[3.100, 8.513]",3.358534656799449e-05,0.26365923795830337,Small,↑,0.4266511063516799,8.396336641998621e-05,True,False
MSE_V,251,0.08831420398001665,"[0.042, 0.135]",0.00021354338490295487,0.22138609054496905,Small,↑,0.14920429248072667,0.0003559056415049248,True,False
MSE_AP,251,0.09809976235622367,"[0.043, 0.153]",0.0005541381624386897,0.2055467896589392,Small,↑,0.9139248793886299,0.0006926727030483621,True,False
detML,255,4.537670545898002,"[0.272, 8.803]",0.03717251737955755,0.16786939548089436,Small,↑,0.10694669897461524,0.03717251737955755,True,False
