,Mean,Std
precision_0,0.9953099057804939,0.01085745961281321
recall_0,0.9940106951871658,0.01210183059072437
f1_0,0.994589200546371,0.007906144272723587
precision_1,0.9912648221343874,0.01764975666101698
recall_1,0.9927272727272728,0.016833092723137297
f1_1,0.9918350951374206,0.01192074743808688
accuracy,0.9934935064935065,0.009502568495072921
roc_auc,0.9994020418084588,0.0016632531641313931
balanced_accuracy,0.9933689839572193,0.00996409915091236
