precision_0,recall_0,f1_0,precision_1,recall_1,f1_1,accuracy,roc_auc,balanced_accuracy
0.9714285714285714,1.0,0.9855072463768115,1.0,0.9545454545454546,0.9767441860465117,0.9821428571428571,1.0,0.9772727272727273
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,0.9696969696969697,0.9846153846153847,0.9565217391304348,1.0,0.9777777777777777,0.9818181818181818,0.9958677685950414,0.9848484848484849
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.9714285714285714,1.0,0.9855072463768115,1.0,0.9545454545454546,0.9767441860465117,0.9821428571428571,0.9973262032085561,0.9772727272727273
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,0.9696969696969697,0.9846153846153847,0.9565217391304348,1.0,0.9777777777777777,0.9818181818181818,0.9972451790633609,0.9848484848484849
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,0.9705882352941176,0.9850746268656716,0.9565217391304348,1.0,0.9777777777777777,0.9821428571428571,0.9906417112299466,0.9852941176470589
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,0.9705882352941176,0.9850746268656716,0.9565217391304348,1.0,0.9777777777777777,0.9821428571428571,1.0,0.9852941176470589
0.9705882352941176,1.0,0.9850746268656716,1.0,0.9545454545454546,0.9767441860465117,0.9818181818181818,1.0,0.9772727272727273
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.9705882352941176,1.0,0.9850746268656716,1.0,0.9545454545454546,0.9767441860465117,0.9818181818181818,1.0,0.9772727272727273
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,0.9696969696969697,0.9846153846153847,0.9565217391304348,1.0,0.9777777777777777,0.9818181818181818,1.0,0.9848484848484849
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.9696969696969697,0.9696969696969697,0.9696969696969697,0.9545454545454546,0.9545454545454546,0.9545454545454546,0.9636363636363636,0.9972451790633609,0.9621212121212122
0.9705882352941176,1.0,0.9850746268656716,1.0,0.9545454545454546,0.9767441860465117,0.9818181818181818,0.9972451790633609,0.9772727272727273
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,0.9705882352941176,0.9850746268656716,0.9565217391304348,1.0,0.9777777777777777,0.9821428571428571,1.0,0.9852941176470589
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,0.9705882352941176,0.9850746268656716,0.9565217391304348,1.0,0.9777777777777777,0.9821428571428571,0.9986631016042781,0.9852941176470589
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.9705882352941176,1.0,0.9850746268656716,1.0,0.9545454545454546,0.9767441860465117,0.9818181818181818,1.0,0.9772727272727273
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,0.9696969696969697,0.9846153846153847,0.9565217391304348,1.0,0.9777777777777777,0.9818181818181818,0.9958677685950413,0.9848484848484849
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.9705882352941176,1.0,0.9850746268656716,1.0,0.9545454545454546,0.9767441860465117,0.9818181818181818,1.0,0.9772727272727273
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,0.9696969696969697,0.9846153846153847,0.9565217391304348,1.0,0.9777777777777777,0.9818181818181818,0.9999999999999999,0.9848484848484849
