leaf,n,event,p_real,p_rf_mean,p_rf_sd,p_real_l,p_real_u
4,5,1,0.2,0.4823511769480521,0.1770016454433667,0.03622316096978745,0.6244717358814613
3,34,12,0.35294117647058826,0.3144531159710388,0.1428046080925064,0.21487714895296073,0.5208634116998658
7,2,1,0.5,0.4566036029942283,0.12329310382863493,0.09452865480086614,0.9054713451991339
10,2,1,0.5,0.7142813176406927,0.07668904019979915,0.09452865480086614,0.9054713451991339
11,2,1,0.5,0.7521290133477634,0.12196278266981994,0.09452865480086614,0.9054713451991339
12,7,4,0.5714285714285714,0.7226724837662336,0.06987662296503905,0.2504542304090258,0.8417830777373732
6,3,2,0.6666666666666666,0.6920235690235691,0.1741577889714881,0.2076549551264879,0.9385096847238394
