Feature,n_used,beta_target_main_sex1,CI95_low_main,CI95_high_main,p_main,beta_interaction(Sex2_vs_Sex1),CI95_low_int,CI95_high_int,p_interaction
MSE_ML,251,0.446159610424789,0.1613062292483327,0.7310129916012453,0.0022705514514936324,-0.3313617105424521,-0.6565101192511404,-0.00621330183376384,0.045813095972038656
detML,255,-7.377986389675043,-23.88672902600082,9.13075624665073,0.3795683695244987,15.407982910705254,-3.348993175668074,34.164958997078585,0.10694669897461524
MSE_V,251,0.1612760831781776,-0.016369511960715732,0.33892167831707093,0.07497731203434813,-0.14894989333199027,-0.35172502745524686,0.05382524079126633,0.14920429248072667
iHR_V,253,0.9630599637466967,-9.50858327927362,11.434703206767011,0.8563953981292238,4.818992728107842,-7.101967800790135,16.73995325700582,0.4266511063516799
MSE_AP,251,0.05182274801514328,-0.16087854886805963,0.2645240448983462,0.6317070151982306,-0.013336265548240665,-0.2561260401551495,0.22945350905866815,0.9139248793886299
