bin,n,frac_pos,prob_mean,abs_gap
"(0.1, 0.2]",5,0.2,0.13916513347763348,0.060834866522366526
"(0.2, 0.3]",16,0.25,0.2524927628794817,0.0024927628794816914
"(0.3, 0.4]",8,0.25,0.3378921542866856,0.08789215428668562
"(0.4, 0.5]",6,0.3333333333333333,0.46690318709068707,0.13356985375735375
"(0.5, 0.6]",3,1.0,0.5343748045935548,0.4656251954064452
"(0.6, 0.7]",9,0.3333333333333333,0.6620701859868527,0.32873685265351943
"(0.7, 0.8]",6,0.8333333333333334,0.7678958691771193,0.0654374641562141
"(0.8, 0.9]",2,1.0,0.8372851280663778,0.16271487193362222
