feat_A,feat_B,H2_mean,H2_sd,H2_p2.5,H2_p97.5
"Sex (M=1, F=2)",Gait Speed,1.5903425496299362,1.349217607720487,0.6062164865758718,5.458425126404531
MSE ML,MSE AP,0.04719146531101404,0.024773061830388344,0.005951855689349305,0.08858996056472893
MSE ML,MSE V,0.04545145756107928,0.016866253329936406,0.013998879456795196,0.08924420301335753
MSE ML,iHR V,0.028796402734206063,0.004933718374217665,0.019909987080985108,0.03759718308082876
